player,nation,pos,squad,comp,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,pkatt,pka,pksv,pkm,pk_save%
Michele Di Gregorio,FRA,GK,Monza,Serie A,25,1997,37,37,3330,37.0,49.0,1.32,167.0,119.0,72.5,14,10.0,13.0,10.0,27.0,3.0,3.0,0.0,0.0,0.0
Mory Diaw,SWE,GK,Clermont Foot,Ligue 1,29,1993,37,37,3330,37.0,47.0,1.27,161.0,110.0,75.8,17,8.0,12.0,10.0,27.0,12.0,8.0,4.0,0.0,33.3
Stole Dimitrievski,CIV,GK,Rayo Vallecano,La Liga,28,1993,37,37,3324,36.9,49.0,1.33,139.0,94.0,67.6,13,10.0,14.0,9.0,24.3,5.0,4.0,0.0,1.0,0.0
Yehvann Diouf,GHA,GK,Reims,Ligue 1,22,1999,31,31,2790,31.0,31.0,1.0,137.0,107.0,78.1,11,12.0,8.0,14.0,45.2,1.0,1.0,0.0,0.0,0.0
Ouparine Djoco,NGA,GK,Clermont Foot,Ligue 1,24,1998,1,1,90,1.0,2.0,2.0,3.0,1.0,33.3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Dmitrović,ALG,GK,Sevilla,La Liga,30,1992,15,13,1269,14.1,13.0,0.92,55.0,43.0,76.4,6,4.0,3.0,5.0,38.5,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,AUT,GK,Paris S-G,Ligue 1,23,1999,38,38,3409,37.9,40.0,1.06,160.0,120.0,76.3,27,4.0,7.0,13.0,34.2,5.0,2.0,1.0,2.0,33.3
Bartłomiej Drągowski,NOR,GK,Spezia,Serie A,24,1997,34,34,2946,32.7,54.0,1.65,164.0,112.0,69.5,6,10.0,18.0,6.0,17.6,6.0,4.0,1.0,1.0,20.0
Martin Dúbravka,FRA,GK,Newcastle Utd,Premier League,33,1989,2,1,157,1.7,1.0,0.57,9.0,9.0,88.9,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maxime Dupé,FRA,GK,Toulouse,Ligue 1,29,1993,38,38,3420,38.0,57.0,1.5,179.0,122.0,70.4,13,9.0,16.0,9.0,23.7,7.0,4.0,3.0,0.0,42.9
Ederson,SUI,GK,Manchester City,Premier League,28,1993,35,35,3150,35.0,32.0,0.91,77.0,46.0,62.3,26,4.0,5.0,11.0,31.4,3.0,3.0,0.0,0.0,0.0
Tjark Ernst,NED,GK,Hertha BSC,Bundesliga,19,2003,1,1,90,1.0,1.0,1.0,7.0,6.0,85.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Łukasz Fabiański,ESP,GK,West Ham,Premier League,37,1985,36,36,3111,34.6,48.0,1.39,154.0,106.0,70.1,11,6.0,19.0,8.0,22.2,4.0,2.0,1.0,1.0,33.3
Ralf Fährmann,NGA,GK,Schalke 04,Bundesliga,33,1988,12,12,1025,11.4,13.0,1.14,55.0,43.0,78.2,3,6.0,3.0,5.0,41.7,2.0,1.0,0.0,1.0,0.0
Wladimiro Falcone,FRA,GK,Lecce,Serie A,27,1995,38,38,3420,38.0,46.0,1.21,156.0,112.0,73.7,8,12.0,18.0,6.0,15.8,6.0,5.0,1.0,0.0,16.7
Aitor Fernández,CIV,GK,Osasuna,La Liga,31,1991,21,21,1890,21.0,19.0,0.9,77.0,59.0,75.3,10,5.0,6.0,8.0,38.1,0.0,0.0,0.0,0.0,0.0
Álvaro Fernández,CIV,GK,Espanyol,La Liga,24,1998,11,11,990,11.0,18.0,1.64,50.0,33.0,64.0,3,4.0,4.0,2.0,18.2,0.0,0.0,0.0,0.0,0.0
