player,nation,pos,squad,comp,age,born,90s,total_cmp,total_att,total_cmp%,total_totdist,total_prgdist,short_cmp,short_att,short_cmp%,medium_cmp,medium_att,medium_cmp%,long_cmp,long_att,long_cmp%,ast,xag,xa,a-xag,kp,1/3,ppa,crspa,prgp
Jim Allevinah,GAB,MF,Clermont Foot,Ligue 1,27,1995,24.9,658.0,848.0,77.6,9331.0,2378.0,388.0,453.0,85.7,216.0,273.0,79.1,25.0,62.0,40.3,1,2.0,2.5,-1.0,18.0,37.0,14.0,9.0,59.0
Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,12.0,15.0,80.0,123.0,10.0,6.0,8.0,75.0,4.0,5.0,80.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,1110.0,1402.0,79.2,18396.0,6030.0,561.0,624.0,89.9,396.0,485.0,81.6,110.0,213.0,51.6,4,3.4,4.0,0.6,43.0,143.0,43.0,13.0,197.0
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,811.0,982.0,82.6,10752.0,2657.0,513.0,567.0,90.5,223.0,276.0,80.8,29.0,40.0,72.5,2,3.2,3.0,-1.2,26.0,45.0,36.0,4.0,124.0
Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,896.0,1005.0,89.2,16393.0,5539.0,360.0,386.0,93.3,442.0,475.0,93.1,81.0,117.0,69.2,0,0.3,0.9,-0.3,6.0,70.0,9.0,4.0,71.0
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,448.0,686.0,65.3,7834.0,3413.0,197.0,237.0,83.1,190.0,272.0,69.9,45.0,133.0,33.8,0,0.7,0.9,-0.7,11.0,43.0,10.0,5.0,51.0
Éder Álvarez Balanta,COL,FW,Schalke 04,Bundesliga,29,1993,2.6,64.0,91.0,70.3,1237.0,408.0,21.0,29.0,72.4,34.0,39.0,87.2,9.0,18.0,50.0,0,0.3,0.2,-0.3,4.0,11.0,0.0,0.0,12.0
Carlos Álvarez,ESP,FW,Sevilla,La Liga,18,2003,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,350.0,579.0,60.4,5840.0,3078.0,176.0,209.0,84.2,136.0,228.0,59.6,30.0,103.0,29.1,0,0.2,0.4,-0.2,4.0,27.0,4.0,3.0,38.0
Julián Álvarez,ARG,FW,Manchester City,Premier League,22,2000,16.3,395.0,503.0,78.5,5472.0,885.0,232.0,270.0,85.9,103.0,135.0,76.3,28.0,43.0,65.1,0,1.8,1.6,-1.8,18.0,22.0,13.0,2.0,37.0
